Site ID,Season,Mussel Species,Sample ID,15N At. Air,%N,13C VPDB,%C
MISS,Fall,Plain Pocketbook,MRPP-01,11.9275,8.3215,-28.7357,35.2396
SUGA,Summer,Plain Pocketbook,SC-PP-04,12.53745049,8.95651577,-28.67151694,37.45490974
WHIT,Summer,Plain Pocketbook,WR-PP-02,13.32071827,10.56469721,-28.66490962,34.52614526
WHIT,Summer,Plain Pocketbook,WR-PP-03,12.83441234,9.72211305,-28.65608759,35.66815615
WHIT,Fall,Plain Pocketbook,WRPP-03,11.673,8.6828,-28.6559,37.8866
WHIT,Fall,Plain Pocketbook,WRPP-01,13.0435,9.4946,-28.6416,41.3249
DEER,Summer,Plain Pocketbook,DC-PP-07,11.56064992,10.11926587,-28.56533719,36.54576081
SUGA,Fall,Plain Pocketbook,SCPP-04,12.1393,6.9532,-28.5594,32.2872
WHIT,Summer,Plain Pocketbook,WR-PP-04,12.65292498,6.002103005,-28.55120345,24.14907978
DEER,Summer,Plain Pocketbook,DC-PP-04,11.02576778,5.713074879,-28.54476988,26.02025172
DEER,Summer,Plain Pocketbook,DC-PP-02,11.36332448,10.03533635,-28.50853223,37.34347436
MUDC,Fall,Plain Pocketbook,MCPP-09,9.1297,7.4097,-28.4834,38.8346
MISS,Fall,Plain Pocketbook,MRPP-03,11.8401,5.9447,-28.481,30.2155
DEER,Fall,Plain Pocketbook,DCPP-02,11.159,7.9677,-28.4322,35.7509
WILD,Fall,Plain Pocketbook,WCPP-04,11.228,3.1562,-28.3499,18.6213
SUGA,Fall,Plain Pocketbook,SCPP-08,12.5662,8.4648,-28.3465,33.1167
WILD,Fall,Plain Pocketbook,WCPP-05,11.9087,3.782,-28.3108,22.0572
MISS,Fall,Plain Pocketbook,MRPP-10,12.4379,6.2895,-28.2592,28.7716
DEER,Fall,Plain Pocketbook,DCPP-03,11.5332,6.0942,-28.2514,29.9951
MISS,Fall,Plain Pocketbook,MRPP-04,12.6443,6.1737,-28.2129,27.4783
MISS,Fall,Plain Pocketbook,MRPP-08,12.2878,4.897,-28.206,22.86
DEER,Fall,Plain Pocketbook,DCPP-04,11.3816,6.048,-28.0648,26.7026
SUGA,Fall,Plain Pocketbook,SCPP-06,12.2871,6.7126,-28.0455,31.3278
WILD,Fall,Plain Pocketbook,WCPP-08,11.5979,3.5899,-27.9807,23.2367
WHIT,Summer,Plain Pocketbook,WR-PP-01,12.85145812,4.799343249,-27.93072065,18.73196208
DEER,Fall,Plain Pocketbook,DCPP-05,11.5471,7.3792,-27.8275,31.4848
DEER,Fall,Plain Pocketbook,DCPP-07,11.7558,7.9931,-27.8116,32.5991
MUDC,Fall,Plain Pocketbook,MCPP-02,9.8587,8.5217,-27.7026,35.7734
MUDC,Summer,Plain Pocketbook,MC-PP-02,9.743289674,8.335719977,-27.33244813,37.25264442
MUDC,Fall,Plain Pocketbook,MCPP-08,9.8301,5.7586,-27.328,35.848
MUDC,Summer,Plain Pocketbook,MC-PP-01,10.4465955,9.799477847,-27.32264528,40.06663718
MUDC,Summer,Plain Pocketbook,MC-PP-09,9.47541142,8.545347799,-27.29323674,36.84659619
MUDC,Fall,Plain Pocketbook,MCPP-03,9.7141,7.3425,-26.8655,30.4861
MUDC,Fall,Plain Pocketbook,MCPP-01,10.1941,9.0395,-26.6066,36.5085
EELR,Summer,Wabash Pigtoe,ER-WP-07-SP,10.8875,7.2559,-31.8463,40.8725
EELR,Summer,Wabash Pigtoe,ER-WP-04-SP,10.9957,6.8716,-31.6661,33.6373
LAUG,Summer,Wabash Pigtoe,LC-WP-04,9.5,7.125,-31.5647,42.9382
EELR,Summer,Wabash Pigtoe,ER-WP-08-SP,10.4027,7.5559,-31.5564,39.3239
LAUG,Summer,Wabash Pigtoe,LC-WP-06,9.5838,7.2171,-31.531,43.262
EELR,Summer,Wabash Pigtoe,ER-WP-03-SP,10.4298,8.2756,-31.4134,39.0729
LAUG,Summer,Wabash Pigtoe,LC-WP-08,9.046,8.2854,-31.3212,42.6029
LAUG,Summer,Wabash Pigtoe,LC-WP-05,9.6325,7.8398,-31.2655,39.377
EELR,Summer,Wabash Pigtoe,ER-WP-09-SP,11.3603,7.7989,-31.2626,36.1479
RICH,Summer,Wabash Pigtoe,RC WP-06,6.8092,6.6878,-31.2517,34.9806
LAUG,Summer,Wabash Pigtoe,LC-WP-07,9.2878,8.3793,-31.2516,42.2987
EELR,Summer,Wabash Pigtoe,ER-PP-10-SP,11.8026,10.5531,-31.0625,39.9617
EELR,Summer,Wabash Pigtoe,ER-WP-01-SP,10.9446,6.165,-30.9874,29.933
LAUG,Summer,Wabash Pigtoe,LC-WP-03,9.8757,5.6335,-30.983,31.5172
LAUG,Summer,Wabash Pigtoe,LC-WP-09,9.5386,6.6573,-30.9291,32.766
EELR,Summer,Wabash Pigtoe,ER-WP-02-SP,11.3233,11.4454,-30.8209,44.6221
EELR,Summer,Wabash Pigtoe,ER-WP-10-SP,11.8046,10.5717,-30.7724,43.0785
LAUG,Summer,Wabash Pigtoe,LC-WP-02,9.7965,8.2155,-30.7644,37.7133
RICH,Summer,Wabash Pigtoe,RC WP-09,7.1522,7.5229,-30.6999,33.4057
RICH,Summer,Wabash Pigtoe,RC WP-10,7.8701,6.9537,-30.5999,27.9204
EELR,Summer,Wabash Pigtoe,ER-WP-06-SP,11.4955,9.1833,-30.5016,36.9854
RICH,Summer,Wabash Pigtoe,RC WP-03,7.3336,8.2005,-30.493,35.4724
WILD,Summer,Wabash Pigtoe,WCC-WP-01-SP,10.4568,7.3798,-30.3204,40.2993
FISH,Summer,Wabash Pigtoe,FC-WP-04,12.7893,9.4468,-30.3047,40.0088
FISH,Summer,Wabash Pigtoe,FC-WP-01,12.6137,11.0056,-30.2449,44.0353
FISH,Summer,Wabash Pigtoe,FC-WP-03,12.3619,6.4285,-30.2057,32.2878
RICH,Summer,Wabash Pigtoe,RC WP-02,7.2564,6.517,-30.1833,29.576
EELR,Summer,Wabash Pigtoe,ER-WP-05-SP,11.757,9.6627,-30.0442,40.3085
WILD,Summer,Wabash Pigtoe,WCC-WP-03-SP,11.18,7.3118,-30.0264,37.638
FISH,Summer,Wabash Pigtoe,FC-WP-10,12.4472,7.0974,-29.9782,29.1743
FISH,Summer,Wabash Pigtoe,FC-WP-02,12.3227,6.2776,-29.9753,28.8569
WILD,Summer,Wabash Pigtoe,WCC-WP-07-SP,11.5209,8.4315,-29.85,36.7957
MISS,Summer,Wabash Pigtoe,MR-WP-09,12.082,7.8599,-29.8283,45.1975
MISS,Summer,Wabash Pigtoe,MR-WP-06,12.2666,7.0941,-29.7871,38.6354
WILD,Summer,Wabash Pigtoe,WCC-WP-02-SP,11.0446,8.0718,-29.7275,35.2496
WILD,Summer,Wabash Pigtoe,WCC-WP-04-SP,11.5312,7.5303,-29.5557,37.2643
SUGA,Summer,Wabash Pigtoe,SC-WP-05-SP,10.7203,7.9246,-29.5251,40.3864
SUGA,Summer,Wabash Pigtoe,SC-WP-07-SP,11.9743,7.9381,-29.5222,37.9482
SUGA,Summer,Wabash Pigtoe,SC-WP-03-SP,11.75,8.2373,-29.4948,40.115
MISS,Summer,Wabash Pigtoe,MR-WP-10,12.4221,9.0812,-29.4901,44.019
SUGA,Summer,Wabash Pigtoe,SC-WP-08-SP,12.404,11.0147,-29.483,42.8287
DEER,Summer,Wabash Pigtoe,DC-WPT-05,10.2715,6.2205,-29.4805,34.3873
SUGA,Summer,Wabash Pigtoe,SC-WP-10-SP,11.6949,9.6486,-29.4203,43.6569
WHIT,Summer,Wabash Pigtoe,WR-WP-05,11.4585,7.5048,-29.3968,38.5355
MISS,Summer,Wabash Pigtoe,MR-WP-05,12.1542,10.8217,-29.3881,44.5113
DEER,Summer,Wabash Pigtoe,DC-WPT-03,9.9005,9.1322,-29.257,44.2026
SUGA,Summer,Wabash Pigtoe,SC-WP-01-SP,12.0555,10.4581,-29.198,42.8782
DEER,Summer,Wabash Pigtoe,DC-WPT-07,11.2231,8.7127,-29.1893,38.2843
SUGA,Summer,Wabash Pigtoe,SC-WP-06-SP,11.2381,8.4334,-29.1657,40.9821
DEER,Summer,Wabash Pigtoe,DC-WPT-09,11.7164,8.6007,-29.1227,42.0205
DEER,Summer,Wabash Pigtoe,DC-WPT-10,10.7057,8.6625,-29.005,40.1219
DEER,Summer,Wabash Pigtoe,DC-WPT-08,10.5382,8.8459,-28.9815,39.7079
DEER,Summer,Wabash Pigtoe,DC-WPT-02,11.4617,9.2274,-28.9658,39.3654
WHIT,Summer,Wabash Pigtoe,WR-WP-09,12.0545,6.0526,-28.9424,27.5294
WHIT,Summer,Wabash Pigtoe,WR-WP-02,12.35,9.5336,-28.9022,37.3162
MISS,Summer,Wabash Pigtoe,MR-WP-07,12.5836,11.0377,-28.8999,41.6227
SUGA,Summer,Wabash Pigtoe,SC-WP-02-SP,12.4832,11.3487,-28.8562,44.1688
SUGA,Summer,Wabash Pigtoe,SC-WP-04-SP,12.3439,9.6325,-28.8308,39.2579
WHIT,Summer,Wabash Pigtoe,WR-WP-07,11.5446,8.0737,-28.7651,37.5724
DEER,Summer,Wabash Pigtoe,DC-WPT-04,10.6335,8.2837,-28.7551,37.5431
SUGA,Summer,Wabash Pigtoe,SC-WP-09-SP,12.6585,11.6968,-28.7514,43.9098
DEER,Summer,Wabash Pigtoe,DC-WPT-01,12.29,13.3409,-28.7286,47.6375
WHIT,Summer,Wabash Pigtoe,WR-WP-04,12.3129,5.7963,-28.5428,27.1664
DEER,Summer,Wabash Pigtoe,DC-WPT-06,11.1479,11.886,-28.2718,45.5063
MUDC,Summer,Wabash Pigtoe,MC WP-06,9.8905,8.7065,-28.2111,40.5376
MUDC,Summer,Wabash Pigtoe,MC WP-05,8.1769,6.291,-27.5867,36.0768
MUDC,Summer,Wabash Pigtoe,MC WP-03,9.2047,8.7285,-27.3916,40.2621
MUDC,Summer,Wabash Pigtoe,MC WP-09,9.2959,6.5622,-27.1583,35.41
MUDC,Summer,Wabash Pigtoe,MC WP-02,9.5857,7.7689,-26.8838,38.4993
EELR,Fall,Wabash Pigtoe,ERWP-06,14.6243,5.9094,-30.9844,35.5013
RICH,Fall,Wabash Pigtoe,RCWP-08,7.251,7.6789,-30.9313,33.3026
RICH,Fall,Wabash Pigtoe,RCWP-07,7.0359,6.0745,-30.7641,28.3722
FISH,Summer,Wabash Pigtoe,FC-WP-07,12.06891436,8.687999748,-30.76344435,42.83797705
LAUG,Summer,Wabash Pigtoe,LC-WP-01,10.23590474,8.410387177,-30.6262045,39.91120524
RICH,Fall,Wabash Pigtoe,RCWP-05,6.8179,7.1406,-30.5821,33.5607
EELR,Fall,Wabash Pigtoe,ERWP-05,13.0678,8.0277,-30.4118,37.6771
RICH,Fall,Wabash Pigtoe,RCWP-04,7.1521,5.9582,-30.408,28.688
RICH,Fall,Wabash Pigtoe,RCWP-01,7.7439,2.3262,-30.3875,16.0366
FISH,Summer,Wabash Pigtoe,FC-WP-05,12.03078937,8.198652468,-30.37329107,39.21051267
RICH,Summer,Wabash Pigtoe,RC-WP-01,7.599354144,8.019305778,-30.34011515,32.59034862
RICH,Summer,Wabash Pigtoe,RC-WP-05,7.657510316,7.404353713,-30.23131011,30.41885348
FISH,Summer,Wabash Pigtoe,FC-WP-08,12.44113471,10.82133678,-30.22036666,44.49656685
FISH,Fall,Wabash Pigtoe,FCWP-09,11.0774,7.7039,-30.2089,32.6768
EELR,Fall,Wabash Pigtoe,ERWP-02,13.5541,3.4576,-30.201,18.9196
EELR,Fall,Wabash Pigtoe,ERWP-03,13.3369,8.9215,-30.1891,42.7674
FISH,Summer,Wabash Pigtoe,FC-WP-09,12.63677613,7.03531101,-29.95765038,29.56364372
RICH,Summer,Wabash Pigtoe,RC-WP-07,7.18524209,8.465854302,-29.92547973,36.5176127
RICH,Summer,Wabash Pigtoe,RC-WP-04,8.116743539,10.53741511,-29.82549672,39.72098545
WILD,Fall,Wabash Pigtoe,WCWP-02,11.551,5.7232,-29.7316,37.2078
RICH,Summer,Wabash Pigtoe,RC-WP-08,7.126083225,5.363830701,-29.71473123,24.74852891
EELR,Fall,Wabash Pigtoe,ERWP-04,13.6202,3.6372,-29.6739,18.3625
FISH,Summer,Wabash Pigtoe,FC-WP-06,12.38294393,5.60047811,-29.65768328,25.27467211
LAUG,Fall,Wabash Pigtoe,LCWP-01,9.7822,6.707,-29.6182,32.1329
MISS,Summer,Wabash Pigtoe,MR-WP-08,11.46493418,7.448818014,-29.56455624,40.48857247
FISH,Fall,Wabash Pigtoe,FCWP-07,12.1874,3.3941,-29.5607,18.1107
WHIT,Fall,Wabash Pigtoe,WRWP-06,12.34,4.7901,-29.5313,37.0061
SUGA,Fall,Wabash Pigtoe,SCWP-05,11.6171,5.9763,-29.499,38.3125
MISS,Summer,Wabash Pigtoe,MR-WP-03,11.83113479,6.54096434,-29.44496152,34.01676449
MISS,Summer,Wabash Pigtoe,MR-WP-01,12.10804265,9.523860723,-29.38810501,42.16344087
MISS,Summer,Wabash Pigtoe,MR-WP-02,12.51236825,11.63398991,-29.33614992,45.52256814
SUGA,Fall,Wabash Pigtoe,SCWP-08,12.0747,7.7654,-29.2113,38.904
WHIT,Summer,Wabash Pigtoe,WR-WP-08,12.1966989,6.805553134,-29.19019172,31.52312533
MISS,Summer,Wabash Pigtoe,MR-WP-04,12.69797678,11.66245962,-29.15773812,44.08804509
WILD,Fall,Wabash Pigtoe,WCWP-03,12.2363,7.1043,-29.1065,30.9015
WHIT,Fall,Wabash Pigtoe,WRWP-01,11.8092,5.7724,-29.0589,31.0912
FISH,Fall,Wabash Pigtoe,FCWP-05,12.0804,2.7983,-29.0497,16.6923
FISH,Fall,Wabash Pigtoe,FCWP-08,12.4152,3.4006,-29.0039,18.5923
WHIT,Fall,Wabash Pigtoe,WRWP-10,12.1708,4.6243,-28.9478,25.7011
WILD,Fall,Wabash Pigtoe,WCWP-04,12.7092,9.2174,-28.9008,41.4444
WILD,Fall,Wabash Pigtoe,WCWP-05,12.7259,9.6198,-28.892,39.5643
WHIT,Fall,Wabash Pigtoe,WRWP-03,12.7881,8.4771,-28.8285,34.3082
WHIT,Summer,Wabash Pigtoe,WR-WP-03,12.04745276,5.634386832,-28.7259581,26.93253457
MISS,Fall,Wabash Pigtoe,MRWP-02,11.8394,6.215,-28.709,32.7291
DEER,Fall,Wabash Pigtoe,DCWP-01,11.3713,7.3874,-28.6882,38.1863
SUGA,Fall,Wabash Pigtoe,SCWP-03,12.6933,8.8508,-28.6455,35.2868
WILD,Fall,Wabash Pigtoe,WCWP-01,11.1896,7.6773,-28.577,38.0383
WHIT,Fall,Wabash Pigtoe,WRWP-08,12.4289,4.811,-28.5763,27.898
SUGA,Fall,Wabash Pigtoe,SCWP-07,12.5154,7.1908,-28.5409,33.1848
SUGA,Fall,Wabash Pigtoe,SCWP-06,11.8073,6.1214,-28.4655,30.3648
WHIT,Summer,Wabash Pigtoe,WR-WP-01,15.32485793,5.942422484,-28.4468303,23.91711242
FISH,Fall,Wabash Pigtoe,FCWP-06,11.657,2.5929,-28.4456,15.4276
MISS,Fall,Wabash Pigtoe,MRWP-04,12.0309,7.2076,-28.3957,33.4581
MISS,Fall,Wabash Pigtoe,MRWP-03,12.3642,6.0726,-28.3128,27.4946
DEER,Fall,Wabash Pigtoe,DCWP-02,11.5634,6.7354,-28.2852,29.8527
WHIT,Summer,Wabash Pigtoe,WR-WP-10,13.85643618,4.546766978,-28.2832712,19.56456854
DEER,Fall,Wabash Pigtoe,DCWP-06,11.6447,7.1431,-28.2126,33.2532
MUDC,Fall,Wabash Pigtoe,MCWP-08,9.5798,6.5852,-28.1799,35.7579
MISS,Fall,Wabash Pigtoe,MRWP-01,12.2942,5.5168,-28.1563,28.6973
MISS,Fall,Wabash Pigtoe,MRWP-08,11.9568,7.0875,-28.1164,32.8267
MUDC,Summer,Wabash Pigtoe,MC-WP-10,9.456340887,6.278923705,-28.097359,45.78934162
MUDC,Summer,Wabash Pigtoe,MC-WP-07,9.111414623,8.04319375,-28.03560479,38.55638718
WHIT,Summer,Wabash Pigtoe,WR-WP-06,13.26646318,3.911430465,-27.89543045,15.99954905
DEER,Fall,Wabash Pigtoe,DCWP-04,11.2706,9.268,-27.778,39.9737
DEER,Fall,Wabash Pigtoe,DCWP-07,11.3556,7.8335,-27.7193,39.4035
MUDC,Summer,Wabash Pigtoe,MC-WP-01,9.902539105,8.554033509,-27.41022086,40.7532542
MUDC,Summer,Wabash Pigtoe,MC-WP-04,8.281185129,6.303751721,-27.38081409,34.6738661
MUDC,Fall,Wabash Pigtoe,MCWP-07,9.3899,5.1961,-27.1559,33.2085
MUDC,Summer,Wabash Pigtoe,MC-WP-08,9.208675808,7.081377068,-27.1435995,38.58562418
MUDC,Fall,Wabash Pigtoe,MCWP-04,10.3595,4.2336,-26.9383,34.0565
MUDC,Fall,Wabash Pigtoe,MCWP-01,10.6384,6.3937,-26.4823,36.0856
MUDC,Fall,Wabash Pigtoe,MCWP-10,9.8539,4.6628,-26.4216,32.9382
