Site ID,Season,Mussel Species,Sample ID,15N At. Air,%N,13C VPDB,%C
EELR,Summer,Fatmucket,ER-FM-06-SP,12.0344,8.5599,-32.6161,40.8528
EELR,Summer,Fatmucket,ER-FM-08-SP,11.8631,5.452,-32.5387,33.7467
LAUG,Summer,Fatmucket,LC-FM-07,10.3122,6.5088,-32.3917,43.9376
LAUG,Summer,Fatmucket,LC-FM-06,9.7463,7.4913,-32.1358,42.6207
EELR,Summer,Fatmucket,ER-FM-04-SP,11.3193,6.7211,-32.1068,37.6197
LAUG,Summer,Fatmucket,LC-FM-03,9.9771,6.8625,-32.1064,37.0707
EELR,Summer,Fatmucket,ER-FM-09-SP,11.4377,7.388,-32.079,41.9507
EELR,Summer,Fatmucket,ER-FM-02-SP,10.9516,5.3686,-32.0216,32.8202
EELR,Summer,Fatmucket,ER-FM-10-SP,11.7505,6.5953,-31.9359,35.1096
MUDC,Summer,Fatmucket,MC-FM-07,9.1357,4.8315,-31.7562,40.5827
RICH,Summer,Fatmucket,RC FM-02,8.0034,10.3813,-31.7418,36.7448
FISH,Summer,Fatmucket,FC-FM-07,12.1656,5.0759,-31.6308,35.1899
EELR,Summer,Fatmucket,ER-FM-03-SP,11.3243,9.8053,-31.5486,44.2061
RICH,Summer,Fatmucket,RC FM-03,9.0884,6.9721,-31.4595,27.0169
FISH,Summer,Fatmucket,FC-FM-06,12.3349,6.6351,-31.4408,35.8055
LAUG,Summer,Fatmucket,LC-FM-04,10.3713,9.5189,-31.3595,42.8541
EELR,Summer,Fatmucket,ER-FM-05-SP,11.5897,9.4427,-31.2832,39.7666
RICH,Summer,Fatmucket,RC FM-10,7.2795,6.6708,-31.2792,27.4138
EELR,Summer,Fatmucket,ER-FM-01-SP,11.3673,8.0576,-31.243,37.9271
FISH,Summer,Fatmucket,FC-FM-10,12.0725,7.4303,-31.1392,36.4127
EELR,Summer,Fatmucket,ER-FM-07-SP,11.6458,7.2562,-31.0412,32.4671
RICH,Summer,Fatmucket,RC FM-01,7.5402,6.9896,-31.0322,26.8501
RICH,Summer,Fatmucket,RC FM-07,7.6214,10.3552,-31.0273,40.8124
FISH,Summer,Fatmucket,FC-FM-08,12.0655,7.1077,-30.9913,33.4387
LAUG,Summer,Fatmucket,LC-FM-10,11.1549,10.2416,-30.6497,39.2846
WILD,Summer,Fatmucket,WCC-FM-04-SP,10.8715,8.088,-30.6221,43.204
WILD,Summer,Fatmucket,WCC-FM-06-SP,11.2772,6.7341,-30.5852,38.9023
WILD,Summer,Fatmucket,WCC-FM-02-SP,11.8281,7.4591,-30.3351,36.2055
SUGA,Summer,Fatmucket,SC-FM-01-SP,12.2398,10.0554,-30.2823,39.6242
WILD,Summer,Fatmucket,WCC-FM-07-SP,11.6121,6.7898,-30.2715,34.7338
WILD,Summer,Fatmucket,WCC-FM-03-SP,11.5256,6.6448,-30.2685,38.4244
WILD,Summer,Fatmucket,WCC-FM-09-SP,11.5436,8.8521,-29.9825,41.537
DEER,Summer,Fatmucket,DC-FM-10,10.543,4.7306,-29.866,34.2161
WILD,Summer,Fatmucket,WCC-FM-05-SP,11.8107,7.9218,-29.8206,36.2396
WHIT,Summer,Fatmucket,WR-FM-08,11.8561,7.119,-29.723,35.3752
SUGA,Summer,Fatmucket,SC-FM-07-SP,11.202,6.407,-29.6098,34.0002
DEER,Summer,Fatmucket,DC-FM-06,11.478,10.9104,-29.5489,45.4317
DEER,Summer,Fatmucket,DC-FM-03,10.2004,6.868,-29.5389,36.6083
WILD,Summer,Fatmucket,WCC-FM-10-SP,11.5717,6.2699,-29.5349,31.3455
MUDC,Summer,Fatmucket,MC-FM-06,7.8736,6.6064,-29.4948,39.6843
SUGA,Summer,Fatmucket,SC-FM-03-SP,11.938,8.1738,-29.4942,37.2414
SUGA,Summer,Fatmucket,SC-FM-02-SP,11.2471,7.5873,-29.2285,33.379
WILD,Summer,Fatmucket,WCC-FM-08-SP,11.2882,5.063,-29.151,31.3524
DEER,Summer,Fatmucket,DC-FM-08,11.9626,12.6544,-29.1166,44.5247
SUGA,Summer,Fatmucket,SC-FM-09-SP,10.9303,6.9475,-29.0247,30.2291
WHIT,Summer,Fatmucket,WR-FM-02,11.5266,7.4735,-28.9875,36.0786
SUGA,Summer,Fatmucket,SC-FM-04-SP,11.5981,7.4106,-28.9835,35.9679
WILD,Summer,Fatmucket,WCC-FM-01-SP,11.6768,6.975,-28.9434,31.9217
MUDC,Summer,Fatmucket,MC-FM-08,9.4932,8.5162,-28.9424,41.4375
SUGA,Summer,Fatmucket,SC-FM-06-SP,11.5249,7.0066,-28.9355,34.6279
SUGA,Summer,Fatmucket,SC-FM-08-SP,12.4113,7.7251,-28.9286,26.6287
SUGA,Summer,Fatmucket,SC-FM-05-SP,13.0811,9.4113,-28.6335,33.8892
WHIT,Summer,Fatmucket,WR-FM-06,11.4276,6.7185,-28.5953,30.1631
WHIT,Summer,Fatmucket,WR-FM-07,11.9172,5.9723,-28.533,25.4831
MUDC,Summer,Fatmucket,MC-FM-10,9.1677,7.5335,-28.5183,38.422
SUGA,Summer,Fatmucket,SC-FM-10-SP,12.4614,8.511,-28.4473,31.8258
DEER,Summer,Fatmucket,DC-FM-09,10.4118,4.9663,-27.9199,28.6544
MUDC,Summer,Fatmucket,MC-FM-05,9.5804,8.7798,-27.2539,39.5597
WHIT,Summer,Fatmucket,WR-FM-05,11.6859,5.8332,-26.49,24.5815
MUDC,Summer,Fatmucket,MC-FM-09,9.4161,5.1139,-26.3881,23.876
RICH,Fall,Fatmucket,RCFM-06,7.0492,3.9076,-33.6197,30.7424
RICH,Summer,Fatmucket,RC-FM-06,6.149460608,7.214586422,-32.71128086,36.00472125
RICH,Fall,Fatmucket,RCFM-09,7.3969,5.1584,-32.1875,32.2591
RICH,Summer,Fatmucket,RC-FM-09,7.527160275,7.381106863,-32.14863137,37.41097127
MUDC,Summer,Fatmucket,MC-FM-03,10.40474357,10.25871121,-32.05688325,40.21983289
LAUG,Summer,Fatmucket,LC-FM-02,10.05631595,8.062002682,-31.90057453,40.10132617
RICH,Summer,Fatmucket,RC-FM-04,6.877415454,7.314900466,-31.85652415,35.99917382
LAUG,Summer,Fatmucket,LC-FM-09,9.603832455,9.317933072,-31.81528977,44.40648315
LAUG,Summer,Fatmucket,LC-FM-08,9.987088983,8.540298572,-31.80352635,45.66816426
LAUG,Summer,Fatmucket,LC-FM-05,10.18373369,7.745717233,-31.75255155,40.11328628
RICH,Summer,Fatmucket,RC-FM-08,7.182234012,7.86863355,-31.61930955,35.37796449
FISH,Fall,Fatmucket,FCFM-01,11.9991,5.8436,-31.5831,32.954
RICH,Fall,Fatmucket,RCFM-05,7.1555,2.8401,-31.4671,24.5472
LAUG,Summer,Fatmucket,LC-FM-01,10.08039489,6.737450181,-31.3918068,33.36195698
RICH,Summer,Fatmucket,RC-FM-05,8.038533514,10.84655298,-31.22525886,37.40091006
FISH,Summer,Fatmucket,FC-FM-01,11.77199848,8.817541836,-31.18228279,40.25919417
FISH,Summer,Fatmucket,FC-FM-09,12.08150893,7.39346083,-31.12841602,35.98947193
FISH,Summer,Fatmucket,FC-FM-04,11.93927435,7.347505034,-31.03537342,36.10196295
FISH,Summer,Fatmucket,FC-FM-02,11.8841835,9.612682964,-31.0177443,39.7833767
RICH,Fall,Fatmucket,RCFM-08,7.0173,4.3569,-30.9309,31.1828
EELR,Fall,Fatmucket,ERFM-07,12.2338,7.7193,-30.5896,33.6422
LAUG,Fall,Fatmucket,LCFM-01,9.7791,11.3612,-30.5608,145.4183
EELR,Fall,Fatmucket,ERFM-09,12.2035,5.8687,-30.5046,30.4836
FISH,Fall,Fatmucket,FCFM-02,12.0134,6.8497,-30.4665,29.594
FISH,Fall,Fatmucket,FCFM-09,12.0609,5.8071,-30.4146,29.1398
FISH,Fall,Fatmucket,FCFM-04,11.9466,7.6955,-30.4092,34.4429
EELR,Fall,Fatmucket,ERFM-03,12.4588,8.6472,-30.3503,35.2715
MUDC,Fall,Fatmucket,MCFM-03,10.3246,7.3778,-30.2991,35.2124
RICH,Fall,Fatmucket,RCFM-04,7.4542,3.9166,-30.2273,25.8758
FISH,Fall,Fatmucket,FCFM-05,12.9593,13.3591,-30.1977,43.4405
MUDC,Fall,Fatmucket,MCFM-01,10.4525,5.6923,-30.1633,32.4224
EELR,Fall,Fatmucket,ERFM-04,13.3205,4.9285,-30.1593,24.276
LAUG,Fall,Fatmucket,LCFM-02,8.3782,6.8464,-29.6977,39.9257
EELR,Fall,Fatmucket,ERFM-10,12.5511,6.2703,-29.6217,28.3909
WHIT,Summer,Fatmucket,WR-FM-10,11.66682502,7.152631036,-29.55550635,35.00182378
DEER,Summer,Fatmucket,DC-FM-02,9.817533085,7.373165509,-29.46848835,37.28125532
MISS,Summer,Fatmucket,MR-FM-01,11.79601966,8.069211939,-29.45574465,38.66291657
DEER,Summer,Fatmucket,DC-FM-07,10.37769897,6.481929389,-29.39782363,35.67251873
DEER,Summer,Fatmucket,DC-FM-05,10.45382452,6.252721613,-29.27735794,32.28741957
WHIT,Summer,Fatmucket,WR-FM-09,11.84511907,8.923426562,-29.27246096,39.32227624
LAUG,Fall,Fatmucket,LCFM-08,9.4014,6.9533,-29.2681,35.8491
DEER,Summer,Fatmucket,DC-FM-04,11.25223684,4.670189805,-29.20577207,27.93788758
MUDC,Summer,Fatmucket,MC-FM-01,9.483223782,7.89858375,-29.17256259,38.72730476
SUGA,Fall,Fatmucket,SCFM-09,12.6507,8.0506,-29.0574,35.4845
WHIT,Summer,Fatmucket,WR-FM-04,11.33527823,7.503621085,-28.99137437,35.37735185
WHIT,Summer,Fatmucket,WR-FM-01,11.50756236,5.784928874,-28.96591007,32.00837318
WILD,Fall,Fatmucket,WCFM-05,12.1203,5.9539,-28.9611,33.6904
LAUG,Fall,Fatmucket,LCFM-05,9.5462,6.2884,-28.9411,30.898
WILD,Fall,Fatmucket,WCFM-03,11.5674,4.9657,-28.9354,31.6945
SUGA,Fall,Fatmucket,SCFM-08,12.6297,6.9939,-28.8842,31.6843
WHIT,Fall,Fatmucket,WRFM-09,11.6044,8.4282,-28.8684,40.6906
WHIT,Fall,Fatmucket,WRFM-03,10.8608,5.005,-28.8619,30.8218
WHIT,Fall,Fatmucket,WRFM-10,12.1606,7.41,-28.8527,37.9322
WILD,Fall,Fatmucket,WCFM-01,11.7736,4.242,-28.8457,27.1094
WHIT,Fall,Fatmucket,WRFM-04,11.4092,5.741,-28.8396,32.5707
SUGA,Fall,Fatmucket,SCFM-10,12.4344,7.6085,-28.8133,35.8005
WHIT,Summer,Fatmucket,WR-FM-03,11.60611388,6.048529822,-28.79429939,30.65899131
WILD,Fall,Fatmucket,WCFM-08,10.8241,3.4152,-28.7483,21.3417
MISS,Fall,Fatmucket,MRFM-05,11.9072,7.0767,-28.7007,32.1736
WILD,Fall,Fatmucket,WCFM-10,11.084,3.9972,-28.7007,25.9997
DEER,Summer,Fatmucket,DC-FM-01,11.08286194,8.333636289,-28.67600892,32.45968361
MUDC,Summer,Fatmucket,MC-FM-04,8.048858196,7.708906305,-28.65837979,41.60912574
